2021-06-29 11:06:68 INFO  LoginPage :38 - click on Login link [[ChromeDriver: chrome on WINDOWS (a217fe2a17bb088fa9fc82312ab7b454)] -> xpath: //a[@class ='ico-login']]
2021-06-29 11:06:217 INFO  LoginPage :44 - Enter Email [[ChromeDriver: chrome on WINDOWS (a217fe2a17bb088fa9fc82312ab7b454)] -> xpath: //input[@id='Email']]
2021-06-29 11:06:353 INFO  LoginPage :49 - Enter Password [[ChromeDriver: chrome on WINDOWS (a217fe2a17bb088fa9fc82312ab7b454)] -> xpath: //input[@id='Password']]
2021-06-29 11:06:474 INFO  LoginPage :54 - click on Login Button [[ChromeDriver: chrome on WINDOWS (a217fe2a17bb088fa9fc82312ab7b454)] -> xpath: //button[@class ='button-1 login-button']]
2021-06-29 11:06:646 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 11:06:479 INFO  LoginPage :38 - click on Login link [[ChromeDriver: chrome on WINDOWS (ec40031c3bc6ad2d7d40526c330bab1e)] -> xpath: //a[@class ='ico-login']]
2021-06-29 11:06:529 INFO  LoginPage :68 - Getting text from : [[ChromeDriver: chrome on WINDOWS (ec40031c3bc6ad2d7d40526c330bab1e)] -> xpath: //div[@class='page-title']//h1]
2021-06-29 11:06:473 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 11:06:760 INFO  LoginPage :38 - click on Login link [[ChromeDriver: chrome on WINDOWS (c9edae8bd16edcaf2605486ad15174cb)] -> xpath: //a[@class ='ico-login']]
2021-06-29 11:06:907 INFO  LoginPage :44 - Enter Email [[ChromeDriver: chrome on WINDOWS (c9edae8bd16edcaf2605486ad15174cb)] -> xpath: //input[@id='Email']]
2021-06-29 11:06:02 INFO  LoginPage :49 - Enter Password [[ChromeDriver: chrome on WINDOWS (c9edae8bd16edcaf2605486ad15174cb)] -> xpath: //input[@id='Password']]
2021-06-29 11:06:101 INFO  LoginPage :54 - click on Login Button [[ChromeDriver: chrome on WINDOWS (c9edae8bd16edcaf2605486ad15174cb)] -> xpath: //button[@class ='button-1 login-button']]
2021-06-29 11:06:286 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 11:06:640 INFO  LoginPage :38 - click on Login link [[ChromeDriver: chrome on WINDOWS (bc94bb9f05e9a2cacbe096a0217c8134)] -> xpath: //a[@class ='ico-login']]
2021-06-29 11:06:796 INFO  LoginPage :44 - Enter Email [[ChromeDriver: chrome on WINDOWS (bc94bb9f05e9a2cacbe096a0217c8134)] -> xpath: //input[@id='Email']]
2021-06-29 11:06:938 INFO  LoginPage :49 - Enter Password [[ChromeDriver: chrome on WINDOWS (bc94bb9f05e9a2cacbe096a0217c8134)] -> xpath: //input[@id='Password']]
2021-06-29 11:06:47 INFO  LoginPage :54 - click on Login Button [[ChromeDriver: chrome on WINDOWS (bc94bb9f05e9a2cacbe096a0217c8134)] -> xpath: //button[@class ='button-1 login-button']]
2021-06-29 11:06:349 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 11:06:628 INFO  LoginPage :38 - click on Login link [[ChromeDriver: chrome on WINDOWS (2157e0a7ebfaf4b4234014f449e68276)] -> xpath: //a[@class ='ico-login']]
